-,一级,二级,三级,级内,简称,网址,描述title,https://www.google.com/s2/favicons?domain=,主要关键词,次要关键词,关键词,判断网址,判断图片,其他标签,图标大小,备案/未备案,经营性/非经营性
10001-200-300-900,10001,200,300,900,中国政府网,http://www.gov.cn/,中华人民共和国中央人民政府,http://www.gov.cn/govweb/xhtml/favicon.ico,政府,,,999,999,,16,,
10001-200-300-900,10001,200,300,900,国务院办公厅,,,,政府,国务院,,,,,,,
10001-201-301-901,10001,201,301,901,外交部,https://www.fmprc.gov.cn/web/, ,https://www.google.com/s2/favicons?domain=https://www.fmprc.gov.cn/web/,政府,国务院,组成部门,999,,,,,
10001-201-301-902,10001,201,301,902,国防部,http://www.mod.gov.cn/, ,http://www.mod.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,256,,
10001-201-301-903,10001,201,301,903,国家发展和改革委员会,https://www.ndrc.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.ndrc.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-904,10001,201,301,904,教育部,http://www.moe.gov.cn/, ,http://www.moe.gov.cn/favorite.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-904,10001,201,301,904,(国家语言文字工作委员会),http://www.moe.gov.cn/jyb_sy/China_Language/, ,http://www.moe.gov.cn/favorite.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-905,10001,201,301,905,科学技术部,http://www.most.gov.cn/, ,http://www.most.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-906,10001,201,301,906,工业和信息化部,https://www.miit.gov.cn/, ,https://www.miit.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,32,,
10001-201-301-906,10001,201,301,906,(国家航天局),http://www.cnsa.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.cnsa.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-906,10001,201,301,906,(国家原子能机构),http://www.caea.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.caea.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-907,10001,201,301,907,国家民族事务委员会,http://www.neac.gov.cn/, ,http://www.neac.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,32,,
10001-201-301-908,10001,201,301,908,公安部,https://www.mps.gov.cn/, ,https://www.mps.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,16,,
10001-201-301-909,10001,201,301,909,国家安全部,, ,,政府,国务院,组成部门,,,,,,
10001-201-301-910,10001,201,301,910,民政部,http://www.mca.gov.cn/, ,http://www.mca.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-911,10001,201,301,911,司法部,http://www.moj.gov.cn/ , ,http://www.legaldaily.com.cn/tongyong/images/2019sfb/2019favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-912,10001,201,301,912,财政部,http://www.mof.gov.cn/index.htm , ,http://www.mof.gov.cn/images/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-913,10001,201,301,913,人力资源和社会保障部,http://www.mohrss.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mohrss.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-914,10001,201,301,914,自然资源部,http://www.mnr.gov.cn/, ,,政府,国务院,组成部门,,,,,,
10001-201-301-915,10001,201,301,915,生态环境部,http://www.mee.gov.cn/, ,http://www.mee.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,16,,
10001-201-301-915,10001,201,301,915,(国家核安全局),http://nnsa.mee.gov.cn/, ,http://nnsa.mee.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,16,,
10001-201-301-916,10001,201,301,916,住房和城乡建设部,http://www.mohurd.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mohurd.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-917,10001,201,301,917,交通运输部,http://www.mot.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mot.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-918,10001,201,301,918,水利部,http://www.mwr.gov.cn/, ,http://www.mwr.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-919,10001,201,301,919,农业农村部,http://www.moa.gov.cn/, ,http://www.moa.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-920,10001,201,301,920,商务部,http://www.mofcom.gov.cn/, ,http://www.mofcom.gov.cn/assets/i/favicon_bak.png,政府,国务院,组成部门,999,,,32,,
10001-201-301-921,10001,201,301,921,文化和旅游部,https://www.mct.gov.cn/, ,https://www.mct.gov.cn/favicon.ico,政府,国务院,组成部门,999,999,,32,,
10001-201-301-922,10001,201,301,922,国家卫生健康委员会,http://www.nhc.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.nhc.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-301-923,10001,201,301,923,退役军人事务部,https://www.mct.gov.cn/, ,http://www.mva.gov.cn/favicon.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-924,10001,201,301,924,应急管理部,http://www.mem.gov.cn/, ,http://www.mem.gov.cn/image/favicon.ico,政府,国务院,组成部门,999,999,,64,,
10001-201-301-925,10001,201,301,925,中国人民银行,http://www.pbc.gov.cn/, ,http://www.pbc.gov.cn/rmyh/uiFramework/commonResource/image/logo.ico,政府,国务院,组成部门,999,,,16,,
10001-201-301-926,10001,201,301,926,审计署,http://www.audit.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.audit.gov.cn/,政府,国务院,组成部门,999,,,,,
10001-201-302-901,10001,201,302,901,国有资产监督管理委员会,http://www.sasac.gov.cn/,国务院国有资产监督管理委员会,http://www.sasac.gov.cn/dbsource/11869722/11869731.jpg,政府,国务院,直属特设机构,999,,,30,,
10001-201-303-901,10001,201,303,901,海关总署,http://www.customs.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.customs.gov.cn/,政府,国务院,直属机构,999,999,,,,
10001-201-303-902,10001,201,303,902,国家税务总局,http://www.chinatax.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.chinatax.gov.cn/,政府,国务院,直属机构,999,,,,,
10001-201-303-903,10001,201,303,903,国家市场监督管理总局,http://www.samr.gov.cn/, ,http://www.samr.gov.cn/favicon.ico,政府,国务院,直属机构,999,,,16,,
10001-201-303-903,10001,201,303,903,(国家认证认可监督管理委员会),http://www.cnca.gov.cn/, ,http://www.cnca.gov.cn/favicon.ico,政府,国务院,直属机构,999,,,16,,
10001-201-303-903,10001,201,303,903,(国家标准化管理委员会),http://www.sac.gov.cn/, ,http://www.sac.gov.cn/favicon.ico,政府,国务院,直属机构,999,,,16,,
10001-201-303-904,10001,201,303,904,国家广播电视总局,http://www.nrta.gov.cn/, ,http://www.nrta.gov.cn/favicon.ico,政府,国务院,直属机构,999,,,32,,
10001-201-303-905,10001,201,303,905,国家体育总局,http://www.sport.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.sport.gov.cn/,政府,国务院,直属机构,999,,,,,
10001-201-303-906,10001,201,303,906,国家统计局,http://www.stats.gov.cn/, ,http://www.stats.gov.cn/favicon.ico,政府,国务院,直属机构,999,,,16,,
10001-201-303-907,10001,201,303,907,国家国际发展合作署,http://www.cidca.gov.cn/, ,http://www.cidca.gov.cn/favicon.ico,政府,国务院,直属机构,999,,,16,,
10001-201-303-908,10001,201,303,908,国家医疗保障局,http://www.nhsa.gov.cn/, ,http://www.nhsa.gov.cn/images/1/fp_pic_24.png,政府,国务院,直属机构,999,,,19,,
10001-201-303-909,10001,201,303,909,国务院参事室,http://www.counsellor.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.counsellor.gov.cn/,政府,国务院,直属机构,999,,,,,
10001-201-303-910,10001,201,303,910,国家机关事务管理局,http://www.ggj.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.ggj.gov.cn/,政府,国务院,直属机构,999,,,,,
10001-201-303-911,10001,201,303,911,国家版权局网,http://www.ncac.gov.cn/, ,http://www.ncac.gov.cn/chinacopyright/favicon.ico,政府,国务院,直属机构,999,,,32,,
10001-201-303-912,10001,201,303,912,国家宗教事务局,http://www.sara.gov.cn/gjzjswjhtml/index.html, ,https://www.google.com/s2/favicons?domain=http://www.sara.gov.cn/gjzjswjhtml/index.html,政府,国务院,直属机构,999,,,,,
10001-201-304-901,10001,201,304,901,国务院港澳事务办公室,https://www.hmo.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.hmo.gov.cn/,政府,国务院,办事机构,999,,,,,
10001-201-304-902,10001,201,304,902,国务院研究室,http://www.gov.cn/guoqing/2018-06/22/content_5300522.htm, ,http://www.gov.cn/govweb/xhtml/favicon.ico,政府,国务院,办事机构,999,999,,16,,
10001-201-304-903,10001,201,304,903,国务院侨务办公室,http://www.gqb.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.gqb.gov.cn/,政府,国务院,办事机构,999,,,,,
10001-201-304-904,10001,201,304,904,国务院台湾事务办公室,http://www.gwytb.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.gwytb.gov.cn/,政府,国务院,办事机构,999,,,,,
10001-201-304-905,10001,201,304,905,中共中央网络安全和信息化委员会办公室,http://www.cac.gov.cn/, ,http://www.cac.gov.cn/favicon.ico,政府,国务院,办事机构,999,,,16,,
10001-201-304-906,10001,201,304,906,国务院新闻办公室,http://www.scio.gov.cn/index.htm, ,http://www.scio.gov.cn/favicon.ico,政府,国务院,办事机构,999,,,256,,
10001-201-305-901,10001,201,305,901,新华通讯社,http://203.192.6.89/xhs/, ,https://www.google.com/s2/favicons?domain=http://203.192.6.89/xhs/,政府,国务院,直属事业单位,999,,,,,
10001-201-305-902,10001,201,305,902,中国科学院,http://www.cas.ac.cn/, ,http://www.cas.cn/lib/images/favicon.ico,政府,国务院,直属事业单位,999,999,,64,,
10001-201-305-903,10001,201,305,903,中国社会科学院,http://cass.cssn.cn/, ,http://cass.cssn.cn/favicon.ico,政府,国务院,直属事业单位,999,,,16,,
10001-201-305-904,10001,201,305,904,中国工程院,http://www.cae.cn/, ,http://www.cae.cn/cae/favicon.ico,政府,国务院,直属事业单位,999,999,,32,,
10001-201-305-905,10001,201,305,905,国务院发展研究中心,https://www.drc.gov.cn/default.aspx, ,https://www.google.com/s2/favicons?domain=https://www.drc.gov.cn/default.aspx,政府,国务院,直属事业单位,999,,,,,
10001-201-305-906,10001,201,305,906,中央广播电视总台,http://www.cnr.cn/, ,http://www.cnr.cn/favicon.ico,政府,国务院,直属事业单位,999,999,,16,,
10001-201-305-907,10001,201,305,907,中国气象局,http://www.cma.gov.cn/, ,http://www.cma.gov.cn/favicon.ico,政府,国务院,直属事业单位,999,,,16,,
10001-201-305-908,10001,201,305,908,中国银行保险监督管理委员会,http://www.cbirc.gov.cn/cn/view/pages/index/index.html, ,http://www.cbirc.gov.cn/cn/static/favicon.ico,政府,国务院,直属事业单位,999,999,,128,,
10001-201-305-909,10001,201,305,909,中国证券监督管理委员会,http://www.csrc.gov.cn/pub/newsite/, ,https://www.google.com/s2/favicons?domain=http://www.csrc.gov.cn/pub/newsite/,政府,国务院,直属事业单位,999,,,,,
10001-201-306-901,10001,201,306,901,国家信访局,https://www.gjxfj.gov.cn/gjxfj/index.htm, ,https://www.gjxfj.gov.cn/favicon.ico,政府,国务院,国家局,999,999,,32,,
10001-201-306-902,10001,201,306,902,国家粮食和物资储备局,http://www.lswz.gov.cn/, ,http://www.lswz.gov.cn/html/xhtml/images/favicon.ico,政府,国务院,国家局,999,,,16,,
10001-201-306-903,10001,201,306,903,国家能源局,http://www.nea.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.nea.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-904,10001,201,306,904,国家国防科技工业局,http://www.sastind.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.sastind.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-905,10001,201,306,905,国家烟草专卖局,http://www.tobacco.gov.cn/gjyc/index.shtml, ,https://www.google.com/s2/favicons?domain=http://www.tobacco.gov.cn/gjyc/index.shtml,政府,国务院,国家局,999,,,,,
10001-201-306-906,10001,201,306,906,国家移民管理局,https://www.nia.gov.cn/, ,https://www.nia.gov.cn/titlepic/new-guohui.ico,政府,国务院,国家局,999,999,,1024,,
10001-201-306-907,10001,201,306,907,国家林业和草原局,http://www.forestry.gov.cn/, ,http://www.forestry.gov.cn/favicon.ico,政府,国务院,国家局,999,,,53,,
10001-201-306-907,10001,201,306,907,(国家公园管理局),http://www.forestry.gov.cn/, ,http://www.forestry.gov.cn/favicon.ico,政府,国务院,国家局,999,,,53,,
10001-201-306-908,10001,201,306,908,国家铁路局,http://www.nra.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.nra.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-909,10001,201,306,909,中国民用航空局,http://www.caac.gov.cn/index.html, ,http://www.caac.gov.cn/images/favicon.png,政府,国务院,国家局,999,,,197,,
10001-201-306-910,10001,201,306,910,国家邮政局,http://www.spb.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.spb.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-911,10001,201,306,911,国家文物局,http://www.ncha.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.ncha.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-912,10001,201,306,912,国家中医药管理局,http://www.satcm.gov.cn/, ,http://www.satcm.gov.cn/favicon.ico,政府,国务院,国家局,999,,,256,,
10001-201-306-913,10001,201,306,913,国家矿山安全监察局,http://www.chinacoal-safety.gov.cn/, ,,政府,国务院,国家局,999,,,,,
10001-201-306-914,10001,201,306,914,国家外汇管理局,http://www.safe.gov.cn/, ,http://www.safe.gov.cn/safe/templateresource/372b1dfdab204181b9b4f943a8e926a6/images/safe.ico,政府,国务院,国家局,999,,,32,,
10001-201-306-915,10001,201,306,915,国家药品监督管理局,https://www.nmpa.gov.cn/, ,https://www.nmpa.gov.cn/wbppimages/favicon.ico,政府,国务院,国家局,999,999,,16,,
10001-201-306-916,10001,201,306,916,国家知识产权局,https://www.cnipa.gov.cn/, ,https://www.cnipa.gov.cn/favicon.ico,政府,国务院,国家局,999,999,,128,,
10001-201-306-917,10001,201,306,917,国家档案局,https://www.saac.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.saac.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-918,10001,201,306,918,国家保密局,http://www.gjbmj.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.gjbmj.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-306-919,10001,201,306,919,国家密码管理局,https://www.oscca.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.oscca.gov.cn/,政府,国务院,国家局,999,,,,,
10001-201-307-901,10001,201,307,901,香港中联办,http://www.locpg.hk/,中央人民政府驻香港特别行政区联络办公室,http://www.locpg.hk/favicon.ico,政府,国务院,派出机构,999,,,32,,
10001-201-307-902,10001,201,307,902,澳门中联办,http://www.zlb.gov.cn/,中央人民政府驻澳门特别行政区联络办公室, ,政府,国务院,派出机构,999,,,,,
10001-201-307-903,10001,201,307,903,中央驻港国家安全公署,,中央人民政府驻香港特别行政区维护国家安全公署, ,政府,国务院,派出机构,,,,,,
10002-200-300-900,10002,200,300,900,中国政协网,http://www.cppcc.gov.cn/, ,http://www.cppcc.gov.cn/image/favicon.ico,政协,,,999,,,16,,
10002-201-300-900,10002,201,300,900,北京市政协,http://www.bjzx.gov.cn/, ,http://test1.ttde.cn/bjzx/m/image/favicon.ico,政协,北京市,,999,,,25,,
10002-202-300-900,10002,202,300,900,天津市政协,http://www.tjszx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.tjszx.gov.cn/,政协,天津市,,999,,,,,
10002-203-300-900,10002,203,300,900,上海市政协,http://www.shszx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.shszx.gov.cn/,政协,上海市,,999,,,,,
10002-204-300-900,10002,204,300,900,重庆市政协,http://www.cqzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.cqzx.gov.cn/,政协,重庆市,,999,,,,,
10002-205-300-900,10002,205,300,900,广西壮族自治区政协,http://www.gxzx.gov.cn/, ,http://www.gxzx.gov.cn/favicon.ico,政协,广西壮族自治区,,999,,,241,,
10002-206-300-900,10002,206,300,900,内蒙古自治区政协,http://www.nmgzx.gov.cn/webpage/homepage/index.html, ,http://www.nmgzx.gov.cn/favicon.ico,政协,内蒙古自治区,,999,999,,268,,
10002-207-300-900,10002,207,300,900,宁夏回族自治区政协,http://www.nxzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.nxzx.gov.cn/,政协,宁夏回族自治区,,999,,,,,
10002-208-300-900,10002,208,300,900,西藏自治区政协,http://www.xizangzx.gov.cn/, ,http://www.xizangzx.gov.cn/images/favicon.ico,政协,西藏自治区,,999,,,16,,
10002-209-300-900,10002,209,300,900,新疆维吾尔自治区政协,http://www.xjzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.xjzx.gov.cn/,政协,新疆维吾尔自治区,,999,,,,,
10002-210-300-900,10002,210,300,900,安徽省政协,http://www.ahzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.ahzx.gov.cn/,政协,安徽省,,999,,,,,
10002-211-300-900,10002,211,300,900,福建省政协,http://www.fjzx.gov.cn/, ,http://www.fjzx.gov.cn/r/cms/www/fjszxmhwz/image/favicon.ico,政协,福建省,,999,,,25,,
10002-212-300-900,10002,212,300,900,甘肃省政协,http://www.gszx.gov.cn/, ,http://www.gszx.gov.cn/favicon.ico,政协,甘肃省,,999,,,32,,
10002-213-300-900,10002,213,300,900,广东省政协,http://www.gdzxb.gov.cn/, ,http://www.gdzxb.gov.cn/favicon.ico,政协,广东省,,999,,,32,,
10002-213-301-900,10002,213,301,900,广州市政协,https://www.gzzx.gov.cn/, ,https://www.gzzx.gov.cn/images/iconcf134.ico,政协,广东省,广州市,999,999,,40,,
10002-213-302-900,10002,213,302,900,深圳市政协,http://www.szzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.szzx.gov.cn/,政协,广东省,深圳市,999,,,,,
10002-213-303-900,10002,213,303,900,珠海市政协,http://www.zhzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.zhzx.gov.cn/,政协,广东省,珠海市,999,,,,,
10002-213-304-900,10002,213,304,900,汕头市政协,http://stzx.shantou.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://stzx.shantou.gov.cn/,政协,广东省,汕头市,999,,,,,
10002-213-304-901,10002,213,304,901,金平区政协,http://www.jpzx.gov.cn/welcome, ,http://www.jpzx.gov.cn/favicon.ico,政协,广东省,汕头市,999,999,,16,,
10002-213-305-900,10002,213,305,900,佛山市政协,http://www.fszx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.fszx.gov.cn/,政协,广东省,佛山市,999,,,,,
10002-213-306-900,10002,213,306,900,韶关市政协,http://www.sgzxb.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.sgzxb.gov.cn/,政协,广东省,韶关市,999,,,,,
10002-213-307-900,10002,213,307,900,河源市政协,http://www.gdhyzx.gov.cn/hyzx/index.html, ,https://www.google.com/s2/favicons?domain=http://www.gdhyzx.gov.cn/hyzx/index.html,政协,广东省,河源市,999,,,,,
10002-213-308-900,10002,213,308,900,梅州市政协,http://www.mzzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.mzzx.gov.cn/,政协,广东省,梅州市,999,,,,,
10002-213-309-900,10002,213,309,900,惠州市政协,http://zx.huizhou.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://zx.huizhou.gov.cn/,政协,广东省,惠州市,999,,,,,
10002-213-310-900,10002,213,310,900,汕尾市政协,http://www.swzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.swzx.gov.cn/,政协,广东省,汕尾市,999,,,,,
10002-213-311-900,10002,213,311,900,东莞市政协,http://dgzx.dg.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://dgzx.dg.gov.cn/,政协,广东省,东莞市,999,,,,,
10002-213-312-900,10002,213,312,900,中山市政协,http://zszx.zsnews.cn/, ,https://www.google.com/s2/favicons?domain=http://zszx.zsnews.cn/,政协,广东省,中山市,999,,,,,
10002-213-313-900,10002,213,313,900,江门市政协,http://zx.jiangmen.cn/, ,https://www.google.com/s2/favicons?domain=http://zx.jiangmen.cn/,政协,广东省,江门市,999,,,,,
10002-213-314-900,10002,213,314,900,阳江市政协,https://www.yjszx.gov.cn/default.html, ,https://www.google.com/s2/favicons?domain=https://www.yjszx.gov.cn/default.html,政协,广东省,阳江市,999,,,,,
10002-213-315-900,10002,213,315,900,湛江市政协,http://www.gdzjzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.gdzjzx.gov.cn/,政协,广东省,湛江市,999,999,,,,
10002-213-316-900,10002,213,316,900,茂名市政协,http://zx.maoming.gov.cn/website/main/jsp/index.jsp, ,https://www.google.com/s2/favicons?domain=http://zx.maoming.gov.cn/website/main/jsp/index.jsp,政协,广东省,茂名市,999,,,,,
10002-213-317-900,10002,213,317,900,肇庆市政协,http://zqzx.gov.cn/index.html, ,https://www.google.com/s2/favicons?domain=http://zqzx.gov.cn/index.html,政协,广东省,肇庆市,999,,,,,
10002-213-318-900,10002,213,318,900,潮州市政协,http://czzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://czzx.gov.cn/,政协,广东省,潮州市,999,,,,,
10002-213-319-900,10002,213,319,900,揭阳市政协,http://www.jieyangzhengxie.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.jieyangzhengxie.gov.cn/,政协,广东省,揭阳市,999,,,,,
10002-213-320-900,10002,213,320,900,云浮市政协,http://zx.yunfu.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://zx.yunfu.gov.cn/,政协,广东省,云浮市,999,,,,,
10002-214-300-900,10002,214,300,900,贵州省政协,https://www.gzszx.gov.cn/, ,https://www.google.com/s2/favicons?domain=https://www.gzszx.gov.cn/,政协,贵州省,,999,,,,,
10002-215-300-900,10002,215,300,900,海南省政协,http://www.hainanzx.gov.cn/default.html, ,https://www.google.com/s2/favicons?domain=http://www.hainanzx.gov.cn/default.html,政协,海南省,,999,,,,,
10002-216-300-900,10002,216,300,900,河北省政协,http://www.hebzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.hebzx.gov.cn/,政协,河北省,,999,,,,,
10002-217-300-900,10002,217,300,900,河南省政协,http://www.hnzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.hnzx.gov.cn/,政协,河南省,,999,999,,,,
10002-218-300-900,10002,218,300,900,黑龙江省政协,http://www.hljzx.gov.cn/, ,https://www.google.com/s2/favicons?domain=http://www.hljzx.gov.cn/,政协,黑龙江省,,999,,,,,
